S/N,sentence,source,IntervsIntra,CauseEffect,implicit_vs_explicit,multiple_c_e,causal_marker,ExpTag,CE,ModelCM,EXPorIMP,sentential_scope,EvalCE,EvalModelCM,EvalEXPorIMP,Evalsentential_scope
5659,"Confrontations among Catholic protesters , Protestant marchers and the police have provoked widespread violence in Northern Ireland for the past three summers .",ECI-B_CTB_EN.csv,Intrasentencial,"[('confrontations among catholic protesters , protestant marchers and the police', 'have provoked widespread violence in northern ireland for the past three summers')]",implicit,No,,2b,,,[],[],0.0,incorrect,incorrect,incorrect
2732,"Osteoporosis, osteoarthritis, viral infection, bladder or kidney infection, gynecological problems in women, tumors and trauma may also cause back pain.",CauseNet-cause.csv,Intrasentencial,"[('osteoporosis', 'back_pain'), ('osteoarthritis', 'back_pain'), ('kidney_infection', 'back_pain')]",explicit,Yes,['cause'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
7871,The child caught a life-threatening illness. She didn't get vaccinated.,copa,Intersentential,"[(She didn't get vaccinated.), (The child caught a life-threatening illness.)]",implicit,No,,2d,,,[],[],0.0,incorrect,incorrect,incorrect
8353,Citizens hung the national flag up outside their homes. The country was commemorating its independence.,copa,Intersentential,"[(The country was commemorating its independence.), (Citizens hung the national flag up outside their homes.)]",implicit,No,,2d,,,[],[],0.0,incorrect,incorrect,incorrect
5159,"After old footage showing Sanders and his wife, Jane, praising the Soviet Union for its programs targeting the youth went viral online, Bildt responded by saying Sanders was lucky to be able to get to the Soviet Union in 1988 and praise all its stunning socialist achievements before the entire system and empire collapsed under the weight of its own spectacular failures. To the former prime minister, the damage socialism can cause is still fresh in his memory.",fincausal.csv,intrasentencial,"[('viral footage of sanders praising soviet union', 'bildt responded with criticism'), ('collapse of soviet system', 'damage of socialism remains fresh in memory')]",explicit,Yes,['cause'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
3812,"Profit at the unit fell to $ 110.6 million , or 37 cents a share , from $ 142.4 million , or 45 cents a share , largely because of a $ 24 million one-time charge associated with Hughes 's previously announced plan to reduce employment by at least 6,000 people by year end .",ECI-B_CTB_EN.csv,intrasentencial,"[('$24 million one-time charge associated with hughes’s plan to reduce employment by at least 6,000 people by year end', 'profit at the unit fell to $110.6 million from $142.4 million')]",explicit,No,['because'],2a,,,[],[],0.0,incorrect,incorrect,incorrect
2230,"It is used in nausea caused by motion sickness, morning sickness or other illness.",CauseNet-cause.csv,Intrasentencial,"[('morning_sickness', 'nausea'), ('motion_sickness', 'nausea'), ('illness', 'nausea')]",explicit,Yes,"['cause', 'caused']",2e,,,[],[],0.0,incorrect,incorrect,incorrect
1205,"""Midline positions are often used because they do not amplify the signal in one hemisphere vs. the other , such as Cz , Oz , Pz etc as online reference .""",medcaus.csv,Intrasentencial,"[('because they do not amplify the signal in one hemisphere vs. the , such as , , Pz etc as online', '`` Midline positions are often')]",explicit,No,"['cause', 'because']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
5866,"Whitmire questioned why several prisons , including the Estelle unit , stopped searching visitors two months before Comeaux's escape and moved to random pat - downs .",ECI-B_ESC_EN.csv,Intrasentencial,"[('several prisons … stopped searching visitors and moved to random pat-downs', ""comeaux's escape"")]",implicit,No,,2b,,,[],[],0.0,incorrect,incorrect,incorrect
5106,"But because miscellaneous itemized deductions are currently suspended, she will not be able to deduct her $500 in expenses, leaving the full $750 as taxable income.",fincausal.csv,intrasentencial,"[('miscellaneous itemized deductions are suspended', 'she cannot deduct $500 in expenses'), ('inability to deduct expenses', 'full $750 becomes taxable income')]",explicit,Yes,['because'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
2484,"Murray Valley encephalitis may cause fever, headaches, neck stiffness, confusion, seizures, nausea, vomiting, tremors, and dizziness.",CauseNet-cause.csv,Intrasentencial,"[('murray_valley_encephalitis', 'nausea'), ('murray_valley_encephalitis', 'fever')]",explicit,Yes,['cause'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
7534,"While not directly correlated to class size, lower divisors mean more teachers, which ultimately lowers class sizes, Mackey said. Lowering the divisors will cost $139.5 million, Mackey said.",fincausal.csv,Intrasentencial,"[('""lower divisors"",', '""mean more teachers""] ['), ('""more teachers"",', '""ultimately lowers class sizes""] ['), ('""lowering the divisors"",', '""will cost $139.5 million""]')]",implicit,Yes,,2f,,,[],[],0.0,incorrect,incorrect,incorrect
7188,"Expanding upon scenario 98, Following a city's development of pedestrian-friendly zones, there was a noticeable improvement in urban livability. During the same period, there was an increase in public transport options and a trend towards sustainable urban planning.",causalnet.csv,Intersentencial,"[('development of pedestrian-friendly zones', 'improvement in urban livability'), ('development of pedestrian-friendly zones', 'an increase in public transport options and a trend towards sustainable urban planning.')]",implicit,Yes,,2h,,,[],[],0.0,incorrect,incorrect,incorrect
5182,"Consumer Action Law Centre CEO, Gerard Brody, says so many people are caught off guard because payday lenders and consumer lease providers deliberately target vulnerable people and, under current laws, can get away with charging high fees and taking huge portions of people's incomes to pay off the loans. Payday lenders do not conduct effective affordability checks, and they can charge exorbitant fees with equivalent interest rates of between 100 and 400 per cent per annum.",fincausal.csv,intrasentencial,"[('payday lenders target vulnerable people', 'people are caught off guard'), ('payday lenders do not conduct', 'charging high fees and large portions of incomes'), ('payday lenders charge exorbitant fees', 'equivalent interest rates between 100 and 400 percent per annum')]",explicit,Yes,['because'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
2026,Bacteria that cause pus are called pyogenic .,medcaus.csv,Intrasentencial,"[(nan, nan), ('Bacteria are called pyogenic', 'pus')]",explicit,Yes,['cause'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
6068,A family member of one of those killed said `` The investigating judge has said he is practically certain to almost 100 % that the plane was hit by a missile .,ECI-B_MAVEN-ERE_EN.csv,Intrasentencial,"[(' the plane was hit by a missle', 'people were killed')]",implicit,No,,2b,,,[],[],0.0,incorrect,incorrect,incorrect
4122,"Westpac has yet to determine the size of its final dividend for 2018-19, but Credit Suisse has forecast both a lower payout and a capital raising of at least $1.5bn when Westpac releases its full-year results in early November.",fincausal.csv,intrasentencial,"[('credit suisse forecasted lower payout', 'uncertainty about westpac’s final dividend for 2018–19')]",explicit,No,['results in'],2a,,,[],[],0.0,incorrect,incorrect,incorrect
7913,The student flaunted his test grade to his classmates. He received a perfect score.,copa,Intersentential,"[(He received a perfect score.), (The student flaunted his test grade to his classmates.)]",implicit,No,,2d,,,[],[],0.0,incorrect,incorrect,incorrect
2667,"In cases where the disease is caused by a medication or another disease (such as a tumor), stopping the medication or controlling the other disease will usually improve your condition.",CauseNet-cause.csv,Intrasentencial,"[('disease', 'disease'), ('medication', 'disease')]",explicit,Yes,"['cause', 'caused']",2e,,,[],[],0.0,incorrect,incorrect,incorrect
2808,"The evidence on virtually all studies show, tobacco is a leading cause of preventable disease and death in the United States.",CauseNet-cause.csv,Intrasentencial,"[('tobacco', 'death'), ('tobacco', 'preventable_disease')]",explicit,Yes,['cause'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
380,"In fact,studies show that access to home energy information results in savings between 5-15% on monthly electricity bills.",CauseNet-noncause.csv,Intrasentencial,"[('access_to_home_energy_information', 'savings')]",explicit,No,['results in'],2a,,,[],[],0.0,incorrect,incorrect,incorrect
2068,This causes different tissues to develop in different ways .,medcaus.csv,Intrasentencial,"[('This', 'different tissues to develop in different ways'), (nan, nan)]",explicit,Yes,"['cause', 'causes']",2e,,,[],[],0.0,incorrect,incorrect,incorrect
1846,"As of Oct. 1, all newborns, with or without the mother's consent, must be tested for the presence of HIV, the virus that causes AIDS, within 24 hours of birth, making Connecticut and New York the only states to require such a screening.",CauseNet-cause.csv,Intrasentencial,"[('virus', 'aids')]",explicit,No,"['cause', 'causes']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
1239,"First, the new studies will carry out significant steps needed to confirm the phenomenon originally described by Dr. Paolo Zamboni who reported abnormalities in the veins draining the brain and spinal cord in people with MS and resolve the questions raised by him and others as to whether CCSVI is a cause of MS or related to MS in some other manner.",CauseNet-cause.csv,Intrasentencial,"[('ccsvi', 'ms')]",explicit,No,['cause'],2a,,,[],[],0.0,incorrect,incorrect,incorrect
4322,"Since the combination of male gender with in-state residency and competitive department results in brown eyes, observing brown eyes in an applicant significantly increases the likelihood that the applicant is male, given the direct correlations established.",CausalBench_Text_Part.csv,intrasentencial,"[('male gender', 'brown eyes'), ('in-state residency', 'brown eyes'), ('competitive department', 'brown ey')]",explicit,Yes,"['Since', 'results in']",2e,,,[],[],0.0,incorrect,incorrect,incorrect
2547,"When inhaled, these fibers can cause mesothelioma, asbestosis and pleural thickening.",CauseNet-cause.csv,Intrasentencial,"[('fibers', 'mesothelioma'), ('fibers', 'asbestosis')]",explicit,Yes,['cause'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
6835,"The gross proceeds from the sale of the notes , which will be due on Nov . 1 , 2004 , will be used to reduce existing debt and for general corporate purposes , the company said .",ECI-B_CTB_EN.csv,Intrasentencial,"[('""sale of the notes', 'reduction of existing debt and funding for general corporate purposes.')]",implicit,No,,2b,,,[],[],0.0,incorrect,incorrect,incorrect
6363,"With 4.52 billion shares outstanding as of July 19, the stock has to close at or above $221.28 for Apple to have a market cap of at least $1 trillion.",fincausal.csv,Intrasentencial,"[('stock price reaching $221.28', 'apple’s market cap hits $1 trillion')]",implicit,No,,2b,,,[],[],0.0,incorrect,incorrect,incorrect
4587,"Pneumococcal <e1>meningitis</e1> is caused by pneumococcus <e2>bacteria</e2>, which also cause several diseases of the respiratory system, including pneumonia.",Semeval2010Task8.csv,intrasentencial,"[('pneumococcus bacteria', 'pneumococcal meningitis'), ('pneumococcus bacteria', 'respiratory diseases including pneumonia')]",explicit,Yes,"['caused', 'cause']",2e,,,[],[],0.0,incorrect,incorrect,incorrect
7617,"Maybe we just want to be left alone, with our tax money in our pockets and some Social Security checks when we age. M.M.T.'s architects describe their vision as encompassing not just a better economy but a better, healthier body politic - a goal that is, given the state of things, almost certainly doomed, but is admirable nonetheless. Deficits do matter - not just the financial ones.",fincausal.csv,Intrasentencial,"[('mmt architects’ vision', 'aim for a better economy and healthier body politic')]",implicit,No,,2b,,,[],[],0.0,incorrect,incorrect,incorrect
2192,"On accessing the internet, many a times, there are viruses and malware that enter the computer and cause harm and damage.",CauseNet-cause.csv,Intrasentencial,"[('viruses', 'damage'), ('viruses', 'harm')]",explicit,Yes,['cause'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
382,"High cholesterol has been researched over and over, and many recent studies have shown that low cholesterol results in more heart issues, depression, and suicide.",CauseNet-noncause.csv,Intrasentencial,"[('low_cholesterol', 'depression')]",explicit,No,['results in'],2a,,,[],[],0.0,incorrect,incorrect,incorrect
541,The fight resulted in a draw.,CauseNet-noncause.csv,Intrasentencial,"[('fight', 'draw')]",explicit,No,['resulted in'],2a,,,[],[],0.0,incorrect,incorrect,incorrect
5169,Uncle Jack did this because of his own financial problems and not to benefit Peter. He wanted to delay closing the estate to continue to receive trustee fees and to invest trust assets into his failing business.,fincausal.csv,intrasentencial,"[('uncle jack’s financial problems', 'delayed closing the estate'), ('desire to receive trustee fees', 'delayed closing the estate'), ('investing trust assets into failing business', 'delayed closing the estate')]",explicit,Yes,['because'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
6920,"It also found true special circumstances of murder of a police officer intentionally killed while performing his duties , murder to avoid arrest , street gang murder , lying in wait . . . and that Orozco personally used a handgun to commit the murder and the attempted murder , the D . A . 's release says .",ECI-B_ESC_EN.csv,Intrasentencial,"[('orozco’s use of a handgun', 'commission of murder and attempted murder.')]",implicit,No,,2b,,,[],[],0.0,incorrect,incorrect,incorrect
8530,The woman communicated with sign language. She was born deaf.,copa,Intersentential,"[(She was born deaf.), (The woman communicated with sign language.)]",implicit,No,,2d,"[('The woman was born deaf', 'She communicated with sign language')]",,['implicit'],['intersentential'],0.0,incorrect,correct,incorrect
7235,"Similar to scenario 94, Following a nation's investment in high-speed internet infrastructure, there was a boost in e-commerce and remote working. During the same period, there was a trend towards digital transformation in businesses and advancements in cybersecurity.",causalnet.csv,Intersentencial,"[(""nation's investment in high-speed internet infrastructure"", 'boost in e-commerce and remote working.'), (""nation's investment in high-speed internet infrastructure"", 'a trend towards digital transformation in businesses and advancements in cybersecurity.')]",implicit,Yes,,2h,"[(""a nation's investment in high-speed internet infrastructure"", 'a boost in e-commerce and remote working')]",,['implicit'],['intersentential'],0.0,incorrect,correct,correct
4243,"Given the problem scenario where pre-conditions lead to either vaccine refusal or vaccination, both pathways still result in lactose intolerance. Thus, choosing vaccination over vaccine refusal does not change the outcome of being lactose intolerant.",CausalBench_Text_Part.csv,intrasentencial,"[('pre-conditions', 'vaccine refusal'), ('pre-conditions', 'vaccination'), ('either vaccine refusal or vaccination', 'lactose intolerance')]",explicit,Yes,"['lead to', 'result in', 'Thus']",2e,,,[],[],0.0,incorrect,incorrect,incorrect
1955,"In response to devastation caused by the earthquake in Japan, The Travelers Companies, Inc. is immediately sending $50,000 to assist relief efforts.",CauseNet-cause.csv,Intrasentencial,"[('earthquake_in_japan', 'devastation')]",explicit,No,"['cause', 'caused']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
7573,"For example, while the Army told us there were no unreimbursed costs, RAND found that transferring firearms cost the Army about $300,000 over 5 years. The Army is now reviewing these costs. The Civilian Marksmanship Program sells surplus M1911 handguns Guns resting on packing materials What GAO Found GAO found that the RAND report, An Evaluation of the Corporation for the Promotion of Rifle Practice and Firearms Safety, about matters related to the transfer and subsequent sale of the surplus Army firearms to the Civilian Marksmanship Program (CMP) addressed all five elements required in the National Defense Authorization Act (NDAA) for Fiscal Year 2018.",fincausal.csv,Intrasentencial,"[('""transferring firearms"",', '""cost the army about $300,000 over 5 years""]')]",implicit,No,,2b,,,[],[],0.0,incorrect,incorrect,incorrect
4439,"This alternative focuses generally on the impact of liking spicy food on the forest without considering any methodological interventions, analyzing the cause (liking spicy food) on the effect (forest condition) generally.",CausalBench_Text_Part.csv,intrasentencial,"[('liking spicy food', 'impact on forest condition'), ('no methodological intervention', 'general analysis of'), ('general analysis of spicy food preference', 'evaluates influence on forest without intervention')]",explicit,Yes,['cause'],2e,"[('liking spicy food', 'forest condition')]",,['explicit'],['intrasentential'],0.0,incorrect,correct,correct
5191,Other causes for concern are the growing international evidence of greater inequality of earnings and incomes and wage stagnation for less educated workers since the 1980s.,fincausal.csv,intrasentencial,"[('growing international evidence of greater inequality of earnings', 'concern'), ('wage stagnation for less educated workers since the 1980s', 'concern'), ('growing international evidence of greater inequality of incomes', 'concern')]",explicit,Yes,"['causes', 'since']",2e,,,[],[],0.0,incorrect,incorrect,incorrect
993,"This assists the victim to cough up phlegm, which causes stuffy nose and lungs and associated headaches.",coling22-mining-health-related-statements_sentence_test_causenet_evaluations.csv,Intrasentencial,"[('cough up phlegm', 'lungs')]",explicit,No,"['cause', 'causes']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
7280,"Expanding upon scenario 16, A city's introduction of a 'green roof' policy, requiring buildings to have plants on rooftops, was followed by a decrease in urban heat islands. Simultaneously, the city experienced an increase in renewable energy usage and a new wave of environmental activism.",causalnet.csv,Intersentencial,"[(""introduction of a 'green roof' policy"", 'decrease in urban heat islands.'), (""introduction of a 'green roof' policy"", 'an increase in renewable energy usage and a new wave of environmental activism.')]",implicit,Yes,,2h,,,[],[],0.0,incorrect,incorrect,incorrect
2558,"Joel Taurog of the University of Texas in Dallas, has shown that a bacteria called bacteroides causes ulcerative colitis and Crohn's disease in mice who are genetically programmed to have a HLA-B27, a special gene that causes arthritis (3,4).",CauseNet-cause.csv,Intrasentencial,"[('bacteria', ""crohn_'s_disease""), ('bacteria', 'ulcerative_colitis')]",explicit,Yes,"['cause', 'causes']",2e,,,[],[],0.0,incorrect,incorrect,incorrect
2753,"Chronic pain causes tension, stress, guarding and stiffness, anxiety, shallow breathing, which in turn causes more pain and then the cycle begins.",CauseNet-cause.csv,Intrasentencial,"[('stiffness', 'pain'), ('chronic_pain', 'stress'), ('chronic_pain', 'stiffness')]",explicit,Yes,"['cause', 'causes']",2e,,,[],[],0.0,incorrect,incorrect,incorrect
795,"""The BCG vaccine was first used on humans in 1921 in France , but achieved widespread acceptance in the US , Great Britain , and Germany only after World War II.Tuberculosis caused widespread public concern in the 19th and early 20th centuries as the disease became common among the urban poor .""",medcaus.csv,Intrasentencial,"[('War', 'caused widespread public concern in the 19th and early 20th centuries as the disease became common among the urban')]",explicit,No,"['cause', 'caused']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
5535,"The Continental Baking business benefited from higher margins on bread and on increased cake sales , it added .",ECI-B_CTB_EN.csv,Intrasentencial,"[('higher margins on bread and increased cake sales', 'business benefited')]",implicit,No,,2b,,,[],[],0.0,incorrect,incorrect,incorrect
1343,Bacteria is the no. 1 cause of gum and tooth infections although there are so much more causes.,CauseNet-cause.csv,Intrasentencial,"[('bacteria', 'gum')]",explicit,No,"['cause', 'causes']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
5606,"A spokesman said herbicide use in some areas of the U.S. was delayed earlier in the year by heavy rains , thus increasing sales in the third quarter .",ECI-B_CTB_EN.csv,Intrasentencial,"[('herbicide use in some areas of the u.s. was delayed earlier in the year by heavy rains', 'increasing sales in the third quarter')]",implicit,No,,2b,,,[],[],0.0,incorrect,incorrect,incorrect
8290,The girl bragged to her friends. She won a contest.,copa,Intersentential,"[(She won a contest.), (The girl bragged to her friends.)]",implicit,No,,2d,,,[],[],0.0,incorrect,incorrect,incorrect
5148,"Currently, I'm paying about 460 euros every month towards my mortgage. This is because the loan is a simple annuity, this is what I'm paying towards the balance automatically.",fincausal.csv,intrasentencial,"[('loan is a simple annuity', 'automatic monthly payment toward balance'), ('mortgage agreement terms', 'monthly payment of about 460 euros')]",explicit,Yes,['because'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
2486,"Recent infection may cause transient fever, diarrhea or respiratory signs.",CauseNet-cause.csv,Intrasentencial,"[('infection', 'diarrhea'), ('infection', 'respiratory_signs')]",explicit,Yes,['cause'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
8674,The man lost his ability to speak. He had a stroke.,copa,Intersentential,"[(He had a stroke.), (The man lost his ability to speak.)]",implicit,No,,2d,,,[],[],0.0,incorrect,incorrect,incorrect
4323,"The statement in the question considers whether the outcome (black hair) is less likely following a specific cause (college degree or higher). Despite the change in education level, the presence of black hair is not necessarily smaller as it depends on the skill level influenced by education.",CausalBench_Text_Part.csv,intrasentencial,"[('college degree or higher', 'change in skill level'), ('change in skill level', 'black hair'), ('college degree or higher', 'does not necessarily reduce likelihood of black hair')]",explicit,Yes,['cause'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
7968,The girl met her favorite actor. She asked him for his autograph.,copa,Intersentential,"[(The girl met her favorite actor.), (She asked him for his autograph.)]",implicit,No,,2d,,,[],[],0.0,incorrect,incorrect,incorrect
7128,"Further developing scenario 27, A small island's initiative to ban plastic bags was followed by an unexpected increase in local marine life diversity. This period also saw the implementation of strict fishing regulations and an increase in marine conservation awareness.",causalnet.csv,Intersentencial,"[('initiative to ban plastic bags', 'unexpected increase in local marine life diversity.'), ('initiative to ban plastic bags', 'the implementation of strict fishing regulations and an increase in marine conservation awareness.')]",implicit,Yes,,2h,,,[],[],0.0,incorrect,incorrect,incorrect
2769,"Indication For use in the treatment of infections caused by susceptible strains of microorganisms in the following diseases: respiratory tract infections (upper and lower) of mild to moderate degree, pertussis (whooping cough), as adjunct to antitoxin in infections due to Corynebacterium diphtheriae, in the treatment of infections due to Corynebacterium minutissimum, intestinal amebiasis caused by Entamoeba histolytica, acute pelvic inflammatory disease caused by Neisseria gonorrhoeae, skin and soft tissue infections of mild to moderate severity caused by Streptococcus pyogenes and Staphylococcus aureus, primary syphilis caused by Treponema pallidum, infections caused by Chlamydia trachomatis, nongonococcal urethritis caused by Ureaplasma urealyticum, and Legionnaires' disease caused by Legionella pneumophila.",CauseNet-cause.csv,Intrasentencial,"[('legionella_pneumophila', ""legionnaires_'_disease""), ('chlamydia_trachomatis', 'infections')]",explicit,Yes,"['cause', 'caused', 'due to']",2e,,,[],[],0.0,incorrect,incorrect,incorrect
8842,"Some individuals in the cohorts performed all their moderate-to-vigorous physical activity within one or two days per week. When this concentrated activity reached 150 minutes or more per week, the risk of all-cause, cardiovascular, and cancer mortality was reduced. These findings led researchers to conclude that both concentrated and distributed activity patterns provide similar health benefits.",PubMed,Intersentential,"[(""concentrated activity reached 150 minutes or more per week"", ""risk of all-cause, cardiovascular, and cancer mortality was reduced""), (""findings"", ""researchers to conclude that both concentrated and distributed activity patterns provide similar health benefits"")]",explicit,Yes,"""When"", ""led""",2g,,,[],[],0.0,incorrect,incorrect,incorrect
1329,Neilman Brewing Co. vs. The question at issue in cases of infringement of trademarks is whether the use of the marks involved would be likely to cause confusion or mistakes in the mind of the public or deceive purchasers.,CauseNet-cause.csv,Intrasentencial,"[('use_of_the_marks', 'confusion')]",explicit,No,['cause'],2a,,,[],[],0.0,incorrect,incorrect,incorrect
4155,"I'm absolutely gutted, Mr. Roche said, adding that around 80 percent of the guests would not be able to make it because of the extra costs.",fincausal.csv,intrasentencial,"[('extra costs', '80 percent of the guests would not be able to make it')]",explicit,No,['because'],2a,,,[],[],0.0,incorrect,incorrect,incorrect
376,"Such sinus infection (sinusitis) results in symptoms such as pain around the nose and eyes, a high temperature and headache... Sinus infection sufferers can be found easily now days.",CauseNet-noncause.csv,Intrasentencial,"[('sinus_infection', 'symptoms')]",explicit,No,['results in'],2a,,,[],[],0.0,incorrect,incorrect,incorrect
254,The fear of the unknown and the unfamiliar can cause anxiety.,CauseNet-cause.csv,Intrasentencial,"[('fear_of_the_unknown', 'anxiety')]",explicit,No,['cause'],2a,,,[],[],0.0,incorrect,incorrect,incorrect
8132,The community learned of the man's death. His obituary appeared in the newspaper.,copa,Intersentential,"[(His obituary appeared in the newspaper.), (The community learned of the man's death.)]",implicit,No,,2d,,,[],[],0.0,incorrect,incorrect,incorrect
4726,"The Lucy Faithfull Foundation (LFF) has reported an increase in callers expressing confusion about the ethics of viewing AI child abuse imagery. Offenders are creating or viewing AI images of child abuse, believing that because the children are not real, it is not illegal. The charity warns that this misconception is dangerous and that viewing or creating such images is still illegal and morally wrong, regardless of whether the children are real or not.",causalprobe.csv,intrasentencial,"[('increase in ai-generated child abuse imagery', 'offenders express confusion about its legality and ethics'), ('belief that images are not of real children', 'offenders assume it’s not illegal'), ('misconception about ai imagery', 'increase in morally and legally questionable behavior'), ('warnings from lff', 'clarification that such actions are illegal and morally wrong')]",explicit,Yes,['because'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
7622,"The grant will be used by the CDC to fund a project that will create a countywide, interactive affordable housing development map which will strategically inform future development within Sonoma County. The timing of this project's funding is especially relevant in the wake of the 2017 wildfires which raged through the community.",fincausal.csv,Intrasentencial,"[('cdc grant funding', 'creation of a countywide, interactive affordable housing development map')]",implicit,No,,2b,,,[],[],0.0,incorrect,incorrect,incorrect
3780,"Considering that the likelihood of recovery is notably lesser when treatment is given (18% vs. 27%), the absence of recovery suggests it is more likely that treatment was received because the non-treatment recovery scenario is less probable in such conditions.",CausalBench_Text_Part.csv,intrasentencial,"[('treatment', 'recovery')]",explicit,No,['because'],2a,,,[],[],0.0,incorrect,incorrect,incorrect
1189,"In the first instance, government is prohibiting the distribution of obscenity because obscenity undermines morality, which leads to promiscuity, abortions, single-parent families, adultery and more single-parent families, sexually transmitted diseases, sexual abuse of children, and rape.",coling22-mining-health-related-statements_sentence_test_causenet_evaluations.csv,Intrasentencial,"[('obscenity undermines morality', 'sexually transmitted diseases')]",explicit,No,"['cause', 'leads to', 'because']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
5047,"He told a Senate committee that the proposed Big Box Tax raised uniformity clause concerns because it treated different classes of corporations - i.e., those with more than 100 shareholders and those in the three specific industries - differently. When he recently spoke with Better Wyoming, Eggers said that he had not been following the new version of the corporate income tax, but he said that its constitutionality may depend on whether it had resolved these uniformity issues.",fincausal.csv,intrasentencial,"[('big box tax treats different classes of corporations differently', 'raised uniformity clause concerns'), ('unresolved uniformity issues', 'constitutionality of corporate income tax may be questioned)')]",explicit,Yes,['because'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
1188,BP oil has caused pain and suffering to thousands of fishing families and coastal businesses.,coling22-mining-health-related-statements_sentence_test_causenet_evaluations.csv,Intrasentencial,"[('bp oil', 'pain')]",explicit,No,"['cause', 'caused']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
942,"A special chapter is devoted to the French occupation, caused by the Napoleonic wars.",coling22-mining-health-related-statements_sentence_test_causenet_evaluations.csv,Intrasentencial,"[('napoleonic wars', 'french occupation')]",explicit,No,"['cause', 'caused']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
1462,"In 2004, the respiratory disease caused 1.7 million deaths worldwide and the numbers are increasing. . . . . .",CauseNet-cause.csv,Intrasentencial,"[('respiratory_disease', 'deaths')]",explicit,No,"['cause', 'caused']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
8308,My friend turned his head in my direction. I shouted his name.,copa,Intersentential,"[(I shouted his name.), (My friend turned his head in my direction.)]",implicit,No,,2d,,,[],[],0.0,incorrect,incorrect,incorrect
5642,"PROGRAM TRADING is being curbed by more securities firms , but big institutional investors are expected to continue the practice , further roiling the stock market .",ECI-B_CTB_EN.csv,Intrasentencial,"[('program trading is being curbed by more securities firms', 'big institutional investors are expected to continue the practice , further roiling the stock market')]",implicit,No,,2b,"[('The rain', 'the ground to be wet')]",,['implicit'],['intrasentential'],0.5,incorrect,correct,correct
4142,"Orton said the company emerged from Chapter 11 bankruptcy protection in a relatively good position, in part because of the company's decision to be open about all aspects of the process. It took about nine months to get through that, Orton said.",fincausal.csv,intrasentencial,"[('company’s decision to be open about all aspects of the bankruptcy process', 'company emerged from chapter 11 bankruptcy protection in a relatively good position')]",explicit,No,['because'],2a,,,[],[],0.0,incorrect,incorrect,incorrect
4763,"The UK government was warned of infected blood risks in the 1970s, leading to a major treatment scandal involving commercial blood products given to haemophiliacs that resulted in thousands of patients being infected with HIV and hepatitis C. Despite warnings in licensing application documents that the products may contain viruses, the government approved their use, resulting in significant harm and fatalities.",causalprobe.csv,intrasentencial,"[('government approved commercial blood products despite virus warnings', 'thousands of haemophiliacs infected with hiv and hepatitis c'), ('warnings in licensing documents were ignored', 'major treatment scandal')]",explicit,Yes,"['leading to', 'resulted in', 'resulting in']",2e,,,[],[],0.0,incorrect,incorrect,incorrect
2368,"Typically a buildings insurance policy covers damage caused by floods, subsidence, fire, theft, storms and malicious damage.",CauseNet-cause.csv,Intrasentencial,"[('fire', 'damage'), ('storms', 'damage'), ('floods', 'damage'), ('theft', 'damage'), ('subsidence', 'damage'), ('malicious_damage', 'damage')]",explicit,Yes,"['cause', 'caused']",2e,,,[],[],0.0,incorrect,incorrect,incorrect
1318,"The primary cause of death was cardiovascular disease, which showed an almost two-fold increase (60 deaths vs. 31) over the general population.",CauseNet-cause.csv,Intrasentencial,"[('cardiovascular_disease', 'death')]",explicit,No,['cause'],2a,,,[],[],0.0,incorrect,incorrect,incorrect
