sentence,source,id,sentence_count,negation_marker,causal_marker,implicit_vs_explicit,CE,multiple_c_e
"Efficacy of doxycycline in feed for the control of pneumonia caused by Pasteurella multocida and Mycoplasma hyopneumoniae in fattening pigs; Bousquet E et al. ; A multicentre, controlled, randomised and blinded study was carried out in three French pig herds to assess the efficacy of doxycycline administered in the feed for the control of pneumonia .",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('pasteurella_multocida', 'pneumonia'), ('mycoplasma_hyopneumoniae', 'pneumonia')]",Yes
"Interview with William J. Rea, M.D. from the John R. Medical Letter William J. Rea, M.D. is a pioneer and the leading researcher and clinician in the field of environmental medicine and chemical sensitivity, which is the treatment of illness caused by food and environmental factors as wide-ranging as such as pesticides, air and water pollution, solvents and formaldehyde, gas stoves, fragrances, and electromagnetic fields.",CauseNet-cause.csv,,3,[],['caused'],explicit,"[('food', 'illness'), ('environmental_factors', 'illness'), ('formaldehyde', 'illness')]",Yes
"TruTech Inc. and Skunk Removal of Green Cove Springs Florida is a full-service Skunk Removal Company that will assist you with problems caused by Skunks, Snakes, Squirrles, Raccoons, Birds, Fox, Skunks, Deer, Geese, Groundhogs, Opossums, Rabbits, Chipmunks and more.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('deer', 'problems'), ('geese', 'problems'), ('birds', 'problems'), ('raccoons', 'problems'), ('snakes', 'problems'), ('rabbits', 'problems'), ('skunks', 'problems'), ('groundhogs', 'problems'), ('chipmunks', 'problems')]",Yes
"These molecules were first discovered in the late 40's by Dr. H. Transfer factor has been studied for [Some antibiotics which have been reported in the medical literature as causing asthma in certain individuals include penicillin, ampicillin, amoxycillin, cephalosporins, tetracycline, spiramycin, and erythromycin, other drugs and antibiotics have also been reported to cause asthma.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('antibiotics', 'asthma'), ('penicillin', 'asthma')]",Yes
"On making a visit to her grandparents, Mr. and Mrs. Nicholas DIETIC in Greenville Township, he contacted pneumonia and influenza, which caused his death.",CauseNet-cause.csv,,3,[],['caused'],explicit,"[('pneumonia', 'death'), ('influenza', 'death')]",Yes
"In St. Lucia, four of the nine deaths occurred as rain caused landslides and flooding in the area.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('rain', 'flooding'), ('rain', 'landslides')]",Yes
"This made Dr. Brand realize that surgical wounds could also heal, and he embarked on reconstructive surgery for those with leprosy who had deformities caused by muscle imbalance and injury.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('injury', 'deformities'), ('muscle_imbalance', 'deformities')]",Yes
"Considered a leading authority on dental implants in Toronto, Dr. Bulger has helped numerous patients repair missing teeth caused by disease, decay, accident, or congenital disorders.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('decay', 'missing_teeth'), ('disease', 'missing_teeth')]",Yes
"* National coordinating counsel for Hoffmann-La Roche and Roche Laboratories Inc. -- Covington managed all aspects of a nationwide lawsuit alleging that Accutane causes depression, psychosis, suicide, violence, and other psychiatric side effects.",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('accutane', 'depression'), ('accutane', 'suicide'), ('accutane', 'psychosis')]",Yes
"Damage caused by storm, cyclone, typhoon, etc. and also unseasonal rainfall comes under the insurance cover.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('storm', 'damage'), ('cyclone', 'damage'), ('typhoon', 'damage')]",Yes
"""We are pleased that our contributions to this worthy cause have been able to relieve some of the pain and agony that cancer can cause,"" Mr. Harrison said.",CauseNet-cause.csv,,2,[],"['cause', 'cause']",explicit,"[('cancer', 'pain'), ('cancer', 'agony')]",Yes
"Aspartame is a teratogen and causes birth defects and mental retardation as Dr. Louis Elsas, pediatric professor, genetics, told Congress in May, l985.",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('aspartame', 'birth_defects'), ('aspartame', 'mental_retardation')]",Yes
"The Petition further explains that ""the minor is abused in that his parent creates a substantial risk of physical injury to such minor by other than accidental means which would be likely to cause death, disfigurement, impairment of emotional health, or loss or impairment of a bodily function . . ."" The Petition further alleges that ""the minor is abused in that his parent inflicts excessive corporal punishment . . ."" A March 27, 1985 TCO finds that ""[i]t is a matter of immediate and urgent necessity that the minor be detained or placed in shelter care"" and orders that the minor be placed in the custody of DCFS.",CauseNet-cause.csv,,7,[],['cause'],explicit,"[('accidental_means', 'death'), ('accidental_means', 'loss'), ('accidental_means', 'disfigurement')]",Yes
"In the 19th century history was interpreted by the German philosopher G.F.W. Hegel as a process of change caused by action, reaction, and the result, or synthesis, of the two.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('action', 'change'), ('reaction', 'change')]",Yes
"It's a disaster for the affected owners,"" says Kim Anderson, vice president of Oswald Trippe & Co. ""Mold and mildew insurance covers damage resulting from storms, broken piping and like events that cause direct damage to the insured structure.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('events', 'damage'), ('storms', 'damage')]",Yes
"(c)(2) making provisions inapplicable to any person charged with a crime or motor vehicle violation who, as a result of the commission of such crime or motor vehicle violation, causes the death of another person, effective July 1, 1998; P.A. 99-148 added Subsec.",CauseNet-cause.csv,,2,[],"['as a result', 'causes']",explicit,"[('crime', 'death_of_another_person'), ('motor_vehicle_violation', 'death_of_another_person')]",Yes
"""We've known for some time that obesity can cause heart disease, diabetes, strokes, and other potentially life-threatening illnesses,"" said report author Dr. Marjorie Reese, director of UCLA's Obesity Pathology Clinic.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('obesity', 'diabetes'), ('obesity', 'heart_disease'), ('obesity', 'strokes')]",Yes
"Eli Lilly & Co. which manufactures Prozac (fluoxetine), has been hit with lawsuits filed by people claiming that Prozac caused violent behavior and suicidal thoughts.",CauseNet-cause.csv,,2,['claiming'],['caused'],explicit,"[('prozac', 'suicidal_thoughts'), ('prozac', 'violent_behavior')]",Yes
"Unemployment causes permanent losses in potential output of goods and services; economic, social, psychological and other problems resulting in crime, ill health (physical and mental), divorce, suicide, etc.; deterioration of labor skills and productivity; and more.",CauseNet-cause.csv,,2,[],"['causes', 'resulting in']",explicit,"[('problems', 'divorce'), ('problems', 'crime'), ('problems', 'suicide'), ('problems', 'ill_health')]",Yes
"The researchers concluded that blueberry supplementation may protect against neurodegeneration and cognitive impairment caused by excitotoxicity and oxidative stress.17 ""Given the epidemiological evidence that diets high in fruit and vegetable content, particularly those of dark color [may help protect against oxidative stress], consumption of blueberries could be highly recommended as part of a healthy diet,"" Dr. Ingram said.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('excitotoxicity', 'neurodegeneration'), ('oxidative_stress', 'neurodegeneration')]",Yes
"""A certain amount of inflammation in the body is good because it helps blood to clot and wards off infection,"" explains Dr. ""But too much inflammation may cause plaque in the arteries to rupture, leading to a blood clot that could cause a heart attack or stroke.",CauseNet-cause.csv,,2,[],"['because', 'cause', 'leading to', 'cause']",explicit,"[('blood_clot', 'stroke'), ('blood_clot', 'heart_attack')]",Yes
"Keener Boyce, 634 Doris Drive, retired physician, stated that he concurred with Mr. He added that there was a high cost to society caused by gambling and that most of his time in practice was spent dealing with social problems brought on by gambling, alcohol, tobacco and drugs.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('alcohol', 'social_problems'), ('gambling', 'social_problems'), ('drugs', 'social_problems'), ('tobacco', 'social_problems')]",Yes
"2/17: The following is from a Feb. 9th MSNBC report: Add a new health threat to smoking: In addition to the harm caused by actually smoking and exposure to second-hand smoke, so-called third-hand smoke may also pose a threat, particularly to babies and toddlers.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('exposure', 'harm'), ('smoking', 'harm')]",Yes
"Results: The %FMD was significantly impaired in the risk group compared with the control group (4.0 +/- 1.7% vs. * FIR thereby promotes elimination of fats, chemicals and toxins from the blood: Poisons, carcinogenic heavy metals - toxic substances from food processing - lactic acid, free fatty acids, and subcutaneous fat associated with aging and fatigue - excess sodium associated with hypertension - and uric acid which causes pain.",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('aging', 'pain'), ('uric_acid', 'pain')]",Yes
"""We conducted focus group testing with teens across the country and found that while teens know that overexposure to the sun can cause skin cancer and premature aging, they are reluctant to change their behavior because they feel more attractive with a tan,"" said Dr. ""For our new PSA campaign, we used this research to develop the messages and images that almost force teens to stop and re-examine their behavior.",CauseNet-cause.csv,,2,[],"['cause', 'because']",explicit,"[('overexposure_to_the_sun', 'skin_cancer'), ('overexposure_to_the_sun', 'premature_aging')]",Yes
"Title 28 U.S.C. 1346 (b) provides that the district courts ""shall have exclusive jurisdiction of civil actions on claims against the United States, for money damages, accruing on and after January 1, 1945, for injury or loss of property, or personal injury or death caused by the negligent or wrongful act or omission of any employee of the Government while acting within the scope of his office or employment, under circumstances where the United States, if a private person, would be liable to the claimant in accordance with the law of the place where the act or omission occurred.""",CauseNet-cause.csv,,2,['claims'],['caused'],explicit,"[('negligent_or_wrongful_act', 'injury'), ('omission_of_any_employee_of_the_government', 'injury')]",Yes
"For example, the most widely quoted constraint definition is that of Maynard Smith et al. (1985) who defined developmental constraints as ""biases in production of variant phenotypes, or limitations on phenotypic variability caused by the structure, character, composition or dynamics of the developmental system.""",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('character', 'limitations_on_phenotypic_variability'), ('structure', 'limitations_on_phenotypic_variability')]",Yes
"UTIs may be caused by bacteria; viruses (herpes simplex type 2); fungi (Candida); and a variety of parasites (worms, protozoa) (Jojart 1978; Kropp et al. 1978; Perfect et al. 1999; Ok et al. 1999; Perez-Eid et al.",CauseNet-cause.csv,,4,[],['caused'],explicit,"[('bacteria', 'utis'), ('viruses', 'utis'), ('fungi', 'utis')]",Yes
"The most widely publicized has been from pediatric allergist Dr. Feingold, who claimed in the mid-1970s that hyperactive behavior was caused by artificial colors and flavors.",CauseNet-cause.csv,,2,['claimed'],['caused'],explicit,"[('artificial_colors', 'hyperactive_behavior'), ('flavors', 'hyperactive_behavior')]",Yes
"Crime is due to poverty, ignorance, emotional problems, and similar causes that cannot be reached by punishment. . . .",CauseNet-cause.csv,,4,[],"['due to', 'causes']",explicit,"[('poverty', 'crime'), ('ignorance', 'crime'), ('emotional_problems', 'crime')]",Yes
"teeth and mouth problems, bad taste in the mouth, coated tongue, halitosis (foul breath), foul stools, flatulence, frontal headache, an ""all gone feeling"", acid reflux, anorexia nervosa, bulimia, nausea, vomiting, belching, ""dumping syndrome"" (post-surgical interferences, i.e., gastrectomy, ileostomy , colostomy), gastritis, gastroenteritis, gastroparesis, ulcer-stomach (gastric, peptic) and duodenal, abdominal pain, cramps, burning, rumbling, and bloating, malabsorption syndromes, carbohydrate intolerance, celiac sprue, tropical sprue, Whipple's disease, intestinal lymphangiectasia, infection and infestation, appendicitis, peritonitis, diarrhea, dysentery, cholera, constipation, Hirschsprung's disease, hemorrhoids, incontinence, pruritus ani, diverticulitis, dyspepsia (heartburn), celiac disease, colitis, ulcerative colitis, crohn's disease, inflammatory bowel disease (IBD), irritable bowel syndrome (IBS), botulism, pyloric dysfunction, belching, eructation of gas, flatus, liver dysfunction, liver systemic encephalopathy, fatty liver, alcohol and drug caused liver disease, hepatitis c, primary sclerosing cholangitis, alpha1-antitrypsin(AAT) deficiency, primary biliary cirrhosis, post operative liver disorders, hepatic granulomas, vascular lesions of the liver, biliary calculi, cholecystitis-acute and chronic, choledocholithiasis, extrahepatic dysfunction, cholesterlosis of the gallbladder, diverticulosis of the gallbladder, cholecystolithiasis (biliary stasis or gallstones), pancreatitis, Sjogren's syndrome, pre-esophageal, dysphagia, esophageal dysphagia, gastroesophageal reflux, corrosive esophagitis and stricture, esophageal diverticula, hiatus hernia, inguinal hernia, esophageal laceration and rupture, infectious disorders of the esophagus, globus sensation, adult rumination, esophageal varices, angiodysplasia, gastrointestinal bleeding, intussusception volvulus, Meckel's diverticulum, leaky gut syndrome, neoplasms of bile ducts, benign tumors, polyps of the colon and rectum, familial polyposis, cancer of the esophagus, stomach, liver, pancreas, small intestine, colon and rectum, etc. ""Jennings, Graham, Trall, Tilden, Carrington, Shelton, Fry, all the wise ones, wrote about Natural Hygiene.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('infection', 'liver_disease'), ('infection', 'hepatitis_c'), ('infection', 'deficiency'), (""crohn_'s_disease"", 'primary_sclerosing_cholangitis'), ('inflammatory_bowel_disease', 'liver_disease'), ('inflammatory_bowel_disease', 'primary_sclerosing_cholangitis'), (""crohn_'s_disease"", 'deficiency')]",Yes
"* Methicillin-Resistant Staphylococcus aureus Infections Among Competitive Sports Participants --- Colorado, Indiana, Pennsylvania, and Los Angeles County, 2000-2003 (MMWR Weekly, Aug. 22, 2003) The potential of MRSA infections among sports participants; the need for health-care providers to be aware that skin and soft tissue infections occurring in these settings might be caused by MRSA; and the importance of implementing prevention measures by players, coaches, parents and school and team administrators.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('mrsa', 'skin'), ('mrsa', 'soft_tissue_infections')]",Yes
"Much of the most recent research into Pycnogenol has focused on its role in circulation: in May of this year, for example, a study by Dr. Hans Ruve was presented to the American Society for Biochemistry and Molecular Biology showing that Pycnogenol ""significantly"" reduced platelet aggregation , which is a leading cause of heart attacks and strokes.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('platelet_aggregation', 'strokes'), ('platelet_aggregation', 'heart_attacks')]",Yes
"Henderson, R. Ward 1936 On May 11, 1936 was called to the home of R. Ward Henderson, Granton, NY and found there the body of Mr. Henderson lying dead and from the history and the circumstances surrounding his death I was convinced that his death was due to illness and natural causes.",CauseNet-cause.csv,,2,[],"['due to', 'causes']",explicit,"[('illness', 'death'), ('natural_causes', 'death')]",Yes
"she identifies some of the principals in the spreading of what she calls this ""alarmist rhetoric"" to be various United Nations agencies, NGOs, national governments, security pundits, the popular media and -- quite specifically -- the Norwegian Nobel Committee of 2007, which, as she describes it, ""warned that climate-induced migration and resource scarcity could cause violent conflict and war within and between states when it awarded the Nobel Peace Prize to Al Gore, Jr. and the Intergovernmental Panel on Climate Change.""",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('resource_scarcity', 'war'), ('resource_scarcity', 'violent_conflict')]",Yes
"Estrogen, according to Dr. Lee, decreases libido, causes depression, headaches, and fluid retention, increases blood clotting and body fat, and impairs thyroid functioning and blood sugar control.",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('estrogen', 'depression'), ('estrogen', 'headaches'), ('estrogen', 'fluid_retention')]",Yes
"The Occupational Safety and Health Act of 1970 requires that each employer ""furnish to each of his employees employment and a place of employment which are free from recognized hazards that are causing or are likely to cause death or serious physical harm . . ."" Hazards take many forms: air contaminants, tasks involving repetitive motions, equipment with moving parts or openings that can catch body parts or clothing, microorganisms, extreme heat or cold, noise, toxic liquids, and more.",CauseNet-cause.csv,,4,[],['cause'],explicit,"[('recognized_hazards', 'death'), ('recognized_hazards', 'serious_physical_harm')]",Yes
"R. 1772A BILLTo amend titles 23 and 49, United States Code, to reduce injuries and deaths caused by cell phone use and texting while driving, and for other purposes.Introduced-in-HouseIN THE HOUSE OF REPRESENTATIVES ",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('cell_phone_use', 'injuries'), ('texting', 'injuries')]",Yes
"Remember, tobacco use is the No. 1 preventable cause of disease and death.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('tobacco_use', 'death'), ('tobacco_use', 'disease')]",Yes
"Headaches of all types often are caused by several factors simultaneously: structural imbalance described in #2 above; poor diet and food intolerance (""allergies"") causing an inflammatory response; stored neurological memory of past accidents causing constant misfiring in the nervous system resulting in muscle spasm which causes headaches (this is removed by applying the chiropractic therapy of bio-energetic synchronization technique B.E.S.T.); malfunctioning and toxic bowels causing liver congestion which is essentially associated with headaches.",CauseNet-cause.csv,,2,[],"['caused', 'resulting in', 'causes']",explicit,"[('liver_congestion', 'headaches'), ('muscle_spasm', 'headaches')]",Yes
"Quite clearly, in our view, the programs of O.E.O. are generally applicable throughout the United States, are intended to relieve distress caused by unemployment and conditions resulting therefrom (i.e. poverty) and often entail public projects for the relief of unemployment and to increase employment.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('conditions', 'distress'), ('unemployment', 'distress')]",Yes
"The Court held that it possessed subject matter and personal jurisdiction over the defendants because the action fell within 28 U.S.C. 1605(a)(7), the terrorism exception to the immunity of foreign states in U.S. a foreign state is liable for personal injury or death that was caused by an act of ... extrajudicial killing, ... or the provision of material support for such an act if such act or provision of material support is engaged in by an official, employee, or agent of such foreign state while acting within the scope of his or her office, employment, or agency.",CauseNet-cause.csv,,2,[],"['because', 'caused']",explicit,"[('act', 'death'), ('act', 'personal_injury')]",Yes
"TruTech Inc. and Skunk Removal of Neptune Beach Florida is a full-service Skunk Removal Company that will assist you with problems caused by Skunks, Snakes, Squirrles, Raccoons, Birds, Fox, Skunks, Deer, Geese, Groundhogs, Opossums, Rabbits, Chipmunks and more.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('deer', 'problems'), ('geese', 'problems'), ('birds', 'problems'), ('raccoons', 'problems'), ('snakes', 'problems'), ('rabbits', 'problems'), ('skunks', 'problems'), ('groundhogs', 'problems'), ('chipmunks', 'problems')]",Yes
"Raw meat is highly perishable and may come to contain salmonella, ecoli and even parasites that could cause illness to you, your children that may come into contact with unwashed bowls, floors etc. and your pets.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('parasites', 'illness'), ('salmonella', 'illness')]",Yes
"Small Business Administration is reminding eligible private non-profit (PNP) organizations in West Virginia of the May 15 deadline to submit disaster loan applications for damages caused by the severe storms, tornadoes, flooding, mudslides and landslides that occurred from Feb. 29 through March 5, 2012.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('flooding', 'damages'), ('tornadoes', 'damages'), ('mudslides', 'damages'), ('severe_storms', 'damages')]",Yes
"Each test and observation should be scrutinized and screened to prepare for a creative and effective cross-examination (E.G.: flushed face is often the result of nervousness, bloodshot eyes may be the result of allergies, fatigue or irritants, slurred speech may be how the Defendant typically speaks, lack of balance may have been caused by a medical condition, or if there was an accident, by head trauma, the inability to perform the alphabet and counting test may be the result of nervousness, lack of education or dyslexia, etc., etc.).",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('allergies', 'bloodshot_eyes'), ('fatigue', 'bloodshot_eyes')]",Yes
"During Feb. 7-9, 1994, the National Institute of Diabetes and Digestive and Kidney Diseases, together with the Office of Medical Applications of Research of the National Institutes of Health, convened a Consensus Development Conference on Helicobacter pylori in Peptic Ulcer Disease, cosponsored by the National Institute of Allergy and Infectious Diseases, admitting that Helicobacter pylori infection is the cause of gastritis and ulcers, and directing that ""All patients with gastric or duodenal ulcers who are infected with H. pylori should be treated with antimicrobials regardless of whether they are suffering from the initial presentation of the disease or from a recurrence.""",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('helicobacter_pylori_infection', 'gastritis'), ('helicobacter_pylori_infection', 'ulcers')]",Yes
"Mulligan & Chapman] [Tia Higano, MD] [Una Wilson] [Sarah Foster] [Powerful myeloma patient, Jamie Parsons and wife, Mary Beth] [Breanna Hardy] [Katie Moser] [Click here to here how James Brown moved on with his life after prostate cancer] [Randy Broad, Lung Cancer] [Jill Peterson] [David Smith] [Anette Lusher] [Mike McKelheer] [Click here to listen to Hope's story and find out more about high-risk pregnancies] [Ed Dunifin] [Powerful Liver Transplant Patient Jennifer Herlihy] [Jairo Venegas - Brain Cancer] [Matthew Rager] [Eric Rothenberg] [Gina Milano] [Jon Wheeler, Heart Transplant and LVAD Recipient] [Dr. Noopur Raje] [Olivia Stuckert] [Nancy Key] [Listen to Charles' Story] [Powerful Patient Gale Fisher] [Sunil Hingorani] [Pamela Clark (Hodgkin's Disease)] [Jack Kiefert and Jack Hudspeth (Prostate Cancer)] [Hans Loland, Powerful CML Patient] [Barbara Padilla : Powerful Hodgkin's Lymphoma Patient] The number one cause of injury and death in children is head trauma.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('head_trauma', 'death'), ('head_trauma', 'injury')]",Yes
"Mental illnesses will be the No. 2 cause of death and disability by 2020, according to the World Health Organization.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('mental_illnesses', 'disability'), ('mental_illnesses', 'death')]",Yes
"Many factors have contributed to the persistence and increase in the occurrence of infectious disease (demographic factors, political, social and economic changes, environmental change, public health care and infrastructure, microbial adaptation, etc.), which according to the World Health Organization (WHO), are the second leading cause of death globally after cardiovascular diseases \\\\cite{WHO2010}.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('increase', 'death'), ('persistence', 'death')]",Yes
"Heart disease, largely caused by chronic high blood pressure, is the No. 1 cause of death, and studies show that stress actually shrinks parts of our brain, limiting our cognitive abilities and creativity.",CauseNet-cause.csv,,2,[],"['caused', 'cause']",explicit,"[('heart_disease', 'death'), ('chronic_high_blood_pressure', 'heart_disease')]",Yes
"""Cardiovascular disease is the leading cause of death in patients with diabetes, and diabetes is the leading cause of heart disease in America,"" said Dr. Alan Garber, professor of medicine in the section of endocrinology at BCM.",CauseNet-cause.csv,,2,[],"['cause', 'cause']",explicit,"[('cardiovascular_disease', 'death'), ('diabetes', 'heart_disease')]",Yes
"But I believe that Dr. King might also speak out against the injustices, oppression, and poverty that cause suffering in communities around the world, including the suffering caused by the drought and famine now occurring in East Africa.",CauseNet-cause.csv,,2,['believe'],"['cause', 'caused']",explicit,"[('famine', 'suffering'), ('drought', 'suffering')]",Yes
"The method according to claim 16 wherein said patient is afflicted with a disorder caused by infection, rheumatoid arthritis, Lyme's arthritis, gout, sepsis syndrome, hyperthermia, ulcerative colitis, enterocolitis, osteoporosis, cytomegalovirus, periodontal disease, glomerulonephritis, chronic non-infectious inflammation of the lung, sarcoidosis, smoker's lung, granuloma formation, fibrosis of the liver, fibrosis of the lung, transplant rejection, graft vs. host disease, chronic myeloid leukemia, acute myeloid leukemia, neoplastic diseases, asthma bronchiale, type I insulin dependent diabetes mellitus, arteriosclerosis, atherosclerosis, psoriasis, chronic B lymphocyte leukaemia, common variable immunodeficiency, disseminated intravascular coagulation, systemic sclerosis, encephalomyelitis, lung inflammation, hyper IgE syndrome, cancer metastasis, cancer growth, adoptive immune therapy, acquired respiratory distress syndrome, sepsis, reperfusion syndrome, postsurgical inflammation, organ transplantation, or alopecia.",CauseNet-cause.csv,,2,['claim'],['caused'],explicit,"[('infection', 'disorder'), ('osteoporosis', 'disorder'), ('rheumatoid_arthritis', 'disorder')]",Yes
"According to Ms. Schwaeber, domestic violence is rarely caused by alcohol or drug use, genetics, stress or mental illness.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('alcohol', 'domestic_violence'), ('stress', 'domestic_violence'), ('mental_illness', 'domestic_violence'), ('drug_use', 'domestic_violence')]",Yes
"Jim Coplen, co-chair of the Green Party of the United States: ""President Bush never mentioned New Orleans and Sen. Webb only named it in passing, but the federal response to the devastation caused by hurricanes Katrina and Rita remain the greatest evidence of the Bush Administration's indifference to Americans without power and wealth.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('rita', 'devastation'), ('hurricanes_katrina', 'devastation')]",Yes
"o The McKinney-Vento plan submitted by the State to ED must include strategies to address problems resulting from enrollment delays caused by immunization and medical records requirements; residency requirements; lack of birth certificates, school records, or other documentation; guardianship issues; or uniform or dress code requirements [Sec. 722(g)(1)(H)].",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('medical_records_requirements', 'enrollment_delays'), ('immunization', 'enrollment_delays')]",Yes
"It may be noted that the world Mrs. Gaskell sees is one without villains in the accepted sense; trouble and suffering are caused by life itself, by selfishness, by a failure of sensitivity to human feelings, by a lack of deeply felt moral standards.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('selfishness', 'suffering'), ('selfishness', 'trouble'), ('life', 'suffering')]",Yes
"By the way, I currently support Roe v.s. Wade which says that all abortions are legal in the first three months of pregnancy, only pregnancies caused by rape or incest or that create a medical condition may be terminated in the next three months, and during the last 3 months of pregnancy, only a women that has a medical condition caused by their pregnancy may abort their baby.",CauseNet-cause.csv,,2,[],"['caused', 'caused']",explicit,"[('rape', 'pregnancies'), ('incest', 'pregnancies')]",Yes
"The method according to claim 14 wherein said patient is afflicted with a disorder caused by infection, rheumatoid arthritis, Lyme's arthritis, gout, sepsis syndrome, hyperthermia, ulcerative colitis, enterocolitis, osteoporosis, cytomegalovirus, periodontal disease, glomerulonephritis, chronic non-infectious inflammation of the lung, sarcoidosis, smoker's lung, granuloma formation, fibrosis of the liver, fibrosis of the lung, transplant rejection, graft vs. host disease, chronic myeloid leukemia, acute myeloid leukemia, neoplastic diseases, asthma bronchiale, type I insulin dependent diabetes mellitus, arteriosclerosis, atherosclerosis, psoriasis, chronic B lymphocyte leukaemia, common variable immunodeficiency, disseminated intravascular coagulation, systemic sclerosis, encephalomyelitis, lung inflammation, hyper IgE syndrome, cancer metastasis, cancer growth, adoptive immune therapy, acquired respiratory distress syndrome, sepsis, reperfusion syndrome, postsurgical inflammation, organ transplantation, or alopecia.",CauseNet-cause.csv,,2,['claim'],['caused'],explicit,"[('infection', 'disorder'), ('osteoporosis', 'disorder'), ('rheumatoid_arthritis', 'disorder')]",Yes
"Moreover, in Western Elec. Co. v. 245, 247-48, 329 S.E.2d 13, 14-15 (1985)(internal footnote omitted), the Court stated: ""Some contend that any disability arising out of and during the course of employment, including disabilities resulting from both injuries and diseases caused gradually by repeated trauma, should be made compensable under the Workers' Compensation Act.",CauseNet-cause.csv,,4,[],['caused'],explicit,"[('injuries', 'disabilities'), ('diseases', 'disabilities')]",Yes
"The World Health Organization, in its WHO Guidelines to Indoor Air Quality: Dampness and Mold (July, 2009), found an association between indoor dampness and development of NEW cases of asthma (WHO Guidelines, p. [SMH Note: follow the money...this study is funded by those who have historically denied that dampness and mold can cause asthma.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('mold', 'asthma'), ('dampness', 'asthma')]",Yes
"Nizoral is a drug used to treat a variety of fungal infections such as dandruff, jock itch, etc. http://buyingnizoral.com Motrin is used to reduce fever and treat pain or inflammation caused by headache, toothaches, back pain etc. http://buyingmotrin.com Valtrex used to treat infections caused by herpes viruses.",CauseNet-cause.csv,,3,[],"['caused', 'caused']",explicit,"[('headache', 'pain'), ('herpes_viruses', 'infections')]",Yes
But records from her office examined by the St. Petersburg Times show she reviewed a wide array of materials seriously challenging her original conclusion that McPherson had died from a blood clot in her lung caused by 'bed rest and severe dehydration.',CauseNet-cause.csv,,2,[],['caused'],explicit,"[('bed_rest', 'blood_clot_in_her_lung'), ('severe_dehydration', 'blood_clot_in_her_lung')]",Yes
"See Hibbert v. Department of Justice, EEOC Appeal No. 0720070036 (October 25, 2007) ($60,000 award for non-pecuniary damages where the agency subjected complainant to racial harassment that resulted in stress, frustration, humiliation and loss of self esteem); Viers v. Postal Service, EEOC Appeal No. 01A14246 (June 20, 2002) ($65,000 in non-pecuniary damages where the complainant stated that she suffered fatigue, insomnia, martial strain, anxiety, loss of self esteem, depression and withdrawal due to harassment); Brown v. Department of Justice, EEOC Appeal No. 01983712 (June 22, 2000) ($75,000 in non-pecuniary damages where discrimination caused sleeplessness, insomnia, argumentative behavior, depression, anxiety, low self-esteem and increased irritability).",CauseNet-cause.csv,,4,[],"['resulted in', 'due to', 'caused']",explicit,"[('discrimination', 'depression'), ('discrimination', 'anxiety'), ('discrimination', 'low_self-esteem')]",Yes
"Click here for more info... Bill Dailey will present ""What You Need to Know About Arthritis"" on Wednesday, May 6th at noon at the Windsor Senior Center (located at 201 S. Main in Windsor, MO.) Arthritis can cause pain, inflammation, and limited function of the joints.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('arthritis', 'pain'), ('arthritis', 'inflammation')]",Yes
